pop,Geno_Code,KRN-blue,SE
1,Z001E0001,11.5,1.695
1,Z001E0002,15.6,1.683
1,Z001E0003,14.6,1.683
1,Z001E0004,12.35,1.683
1,Z001E0005,12.1,1.683
1,Z001E0006,11.6,1.683
1,Z001E0007,14.6,1.683
1,Z001E0008,17.6,1.683
1,Z001E0009,12.1,1.683
1,Z001E0010,12.6,1.683
1,Z001E0011,12.1,1.683
1,Z001E0012,12.6,1.683
1,Z001E0013,13.6,1.683
1,Z001E0014,16.6,1.683
1,Z001E0015,16.6,1.683
1,Z001E0016,11.1,1.683
1,Z001E0017,13.5,1.695
1,Z001E0018,15.1,1.683
1,Z001E0019,13.1,1.683
1,Z001E0020,14.5,1.695
1,Z001E0021,13.6,1.683
1,Z001E0022,14.1,1.683
1,Z001E0023,13.1,1.683
1,Z001E0024,13.6,1.683
1,Z001E0025,13.1,1.683
1,Z001E0027,14.6,1.683
1,Z001E0028,14.6,1.683
1,Z001E0029,14.6,1.683
1,Z001E0030,11.35,1.683
1,Z001E0031,14.6,1.683
1,Z001E0032,14.1,1.683
1,Z001E0033,14.1,1.683
1,Z001E0034,13.1,1.683
1,Z001E0036,13.6,2.037
1,Z001E0037,14.1,1.683
1,Z001E0038,12.35,1.683
1,Z001E0039,12.6,1.683
1,Z001E0040,9.505,1.695
1,Z001E0041,16.6,1.683
1,Z001E0042,12.35,1.683
1,Z001E0043,12.6,1.683
1,Z001E0044,11.6,1.683
1,Z001E0045,17.1,1.683
1,Z001E0046,14.6,1.683
1,Z001E0047,12.6,1.683
1,Z001E0048,17.6,1.683
1,Z001E0049,11.1,1.683
1,Z001E0050,14.5,1.695
1,Z001E0051,15.6,1.683
1,Z001E0052,13.6,1.683
1,Z001E0053,12.6,1.683
1,Z001E0054,13.35,1.683
1,Z001E0055,17.1,1.683
1,Z001E0056,15.1,1.683
1,Z001E0057,13.6,1.683
1,Z001E0058,15.6,1.683
1,Z001E0059,14.35,1.683
1,Z001E0060,11.6,1.683
1,Z001E0061,14.1,1.683
1,Z001E0062,13.5,1.695
1,Z001E0063,14.35,1.683
1,Z001E0064,12.1,1.683
1,Z001E0065,14.1,1.683
1,Z001E0066,13.6,1.683
1,Z001E0067,10.35,1.683
1,Z001E0068,11.1,1.683
1,Z001E0069,15.6,1.683
1,Z001E0070,11.35,1.683
1,Z001E0071,14.6,1.683
1,Z001E0072,17.6,1.683
1,Z001E0074,14.5,1.695
1,Z001E0075,12.5,1.695
1,Z001E0076,12.6,1.683
1,Z001E0077,14.6,1.683
1,Z001E0078,14.6,1.683
1,Z001E0079,16.6,1.683
1,Z001E0080,15.6,1.683
1,Z001E0081,13.5,1.695
1,Z001E0082,13.1,1.683
1,Z001E0083,12.6,1.683
1,Z001E0085,13.6,1.683
1,Z001E0086,14.1,1.683
1,Z001E0087,16.6,1.683
1,Z001E0088,14.6,1.683
1,Z001E0089,16.1,1.683
1,Z001E0091,10.1,1.683
1,Z001E0092,12.6,1.683
1,Z001E0093,15.6,1.683
1,Z001E0094,14.6,1.683
1,Z001E0095,12.6,1.683
1,Z001E0096,15.1,1.683
1,Z001E0097,12.6,1.683
1,Z001E0098,15.1,1.683
1,Z001E0099,11.1,1.683
1,Z001E0101,14.35,1.683
1,Z001E0102,13.1,1.683
1,Z001E0103,12.1,1.683
1,Z001E0104,13.6,1.683
1,Z001E0105,14.6,1.683
1,Z001E0106,13.35,1.683
1,Z001E0107,13.1,1.683
1,Z001E0108,14.1,1.683
1,Z001E0109,14.1,1.683
1,Z001E0110,11.35,1.683
1,Z001E0111,12.6,1.683
1,Z001E0112,14.6,1.683
1,Z001E0113,13.5,1.695
1,Z001E0114,13.6,1.683
1,Z001E0115,14.1,1.683
1,Z001E0116,15.1,1.683
1,Z001E0117,12.6,1.683
1,Z001E0118,13.6,1.683
1,Z001E0119,10.1,1.683
1,Z001E0120,13.35,1.683
1,Z001E0121,13.6,1.683
1,Z001E0122,12.6,1.683
1,Z001E0123,15.1,1.683
1,Z001E0124,12.35,1.683
1,Z001E0125,13.35,1.683
1,Z001E0126,18.6,1.683
1,Z001E0127,16.6,1.683
1,Z001E0128,12.6,1.683
1,Z001E0129,12.6,1.683
1,Z001E0130,12.6,1.683
1,Z001E0131,14.1,1.683
1,Z001E0132,12.6,1.683
1,Z001E0133,13.6,1.683
1,Z001E0134,15.5,1.695
1,Z001E0135,14.1,1.683
1,Z001E0136,11.1,1.683
1,Z001E0137,12.35,1.683
1,Z001E0138,15.1,1.683
1,Z001E0139,13.6,1.683
1,Z001E0140,13.1,1.683
1,Z001E0141,11.35,1.683
1,Z001E0143,13.6,1.683
1,Z001E0144,14.1,1.683
1,Z001E0145,13.35,1.683
1,Z001E0146,13.6,1.683
1,Z001E0147,14.6,1.683
1,Z001E0148,14.1,1.683
1,Z001E0149,20.1,1.683
1,Z001E0150,13.6,1.683
1,Z001E0151,13.1,1.683
1,Z001E0152,11.1,1.683
1,Z001E0153,11.5,2.046
1,Z001E0154,13.6,1.683
1,Z001E0156,16.6,1.683
1,Z001E0157,10.6,1.683
1,Z001E0158,9.601,1.683
1,Z001E0159,11.5,1.695
1,Z001E0160,12.6,1.683
1,Z001E0161,11.6,1.683
1,Z001E0162,12.6,1.683
1,Z001E0163,14.6,1.683
1,Z001E0164,11.6,1.683
1,Z001E0165,11.1,1.683
1,Z001E0166,12.6,1.683
1,Z001E0167,16.35,1.683
1,Z001E0168,13.6,1.683
1,Z001E0169,14.5,1.695
1,Z001E0170,15.1,1.683
1,Z001E0171,14.6,1.683
1,Z001E0172,15.1,1.683
1,Z001E0173,13.6,1.683
1,Z001E0174,17.1,1.683
1,Z001E0175,15.6,1.683
1,Z001E0176,14.1,1.683
1,Z001E0177,16.6,1.683
1,Z001E0178,14.1,1.683
1,Z001E0180,14.6,1.683
1,Z001E0181,14.6,1.683
1,Z001E0182,12.6,1.683
1,Z001E0183,13.6,1.683
1,Z001E0184,14.1,1.683
1,Z001E0185,9.505,1.695
1,Z001E0186,12.5,1.695
1,Z001E0187,16.6,1.683
1,Z001E0188,11.5,2.046
1,Z001E0189,15.6,1.683
1,Z001E0190,16.1,1.683
1,Z001E0191,15.6,1.683
1,Z001E0192,17.6,1.683
1,Z001E0193,15.1,1.683
1,Z001E0194,11.6,1.683
1,Z001E0195,12.6,1.683
1,Z001E0197,13.1,1.683
1,Z001E0198,11.5,1.695
1,Z001E0200,11.5,1.695
1,Z001E0215,14.6,1.683
1,Z001E0229,13.5,1.695
1,Z001ESBreplace1,16.6,1.683
1,Z001ESBreplace2,13.6,1.683
1,Z001ESBreplace3,13.1,1.683
2,Z002E0001,13.58,1.151
2,Z002E0002,13.78,1.604
2,Z002E0003,11.22,1.61
2,Z002E0004,11.93,1.607
2,Z002E0005,16.03,1.607
2,Z002E0006,11.2,1.153
2,Z002E0007,13.78,1.604
2,Z002E0008,14.12,1.61
2,Z002E0009,14.12,1.61
2,Z002E0010,15.64,1.61
2,Z002E0011,13.8,1.604
2,Z002E0012,13.93,1.607
2,Z002E0013,12.8,1.928
2,Z002E0014,14.79,1.607
2,Z002E0015,11.86,1.252
2,Z002E0016,11.8,1.604
2,Z002E0017,16.18,1.153
2,Z002E0019,14.93,1.607
2,Z002E0020,12.12,1.61
2,Z002E0021,13.64,1.61
2,Z002E0022,12.62,1.151
2,Z002E0023,15.12,1.61
2,Z002E0025,12.22,1.61
2,Z002E0026,14.78,1.604
2,Z002E0027,12.8,1.604
2,Z002E0028,18.03,1.931
2,Z002E0029,16.93,1.607
2,Z002E0030,16.53,1.154
2,Z002E0031,11.64,1.61
2,Z002E0032,10.78,1.604
2,Z002E0033,16.18,1.616
2,Z002E0034,18.03,1.607
2,Z002E0035,17.18,1.616
2,Z002E0036,15.54,1.152
2,Z002E0037,14.03,1.607
2,Z002E0038,14.79,1.607
2,Z002E0039,11.57,1.151
2,Z002E0040,18.8,1.604
2,Z002E0041,14.18,1.616
2,Z002E0042,13.64,1.61
2,Z002E0044,17.79,1.607
2,Z002E0045,14.79,1.607
2,Z002E0046,15.72,1.151
2,Z002E0047,12.8,1.928
2,Z002E0048,19.96,1.619
2,Z002E0049,12.79,1.607
2,Z002E0050,15.93,1.607
2,Z002E0051,12.15,1.151
2,Z002E0052,13.96,1.619
2,Z002E0054,14.12,1.61
2,Z002E0055,13.22,1.61
2,Z002E0056,17.7,1.158
2,Z002E0057,12.18,1.616
2,Z002E0058,14.93,1.607
2,Z002E0059,15.22,1.933
2,Z002E0061,16.01,1.154
2,Z002E0062,11.03,1.607
2,Z002E0063,17.22,1.61
2,Z002E0064,15.22,1.61
2,Z002E0065,17.22,1.61
2,Z002E0066,16.8,1.604
2,Z002E0068,12.7,1.153
2,Z002E0069,12.96,1.619
2,Z002E0070,15.18,1.938
2,Z002E0071,11.79,1.607
2,Z002E0072,12.96,1.619
2,Z002E0073,12.64,1.61
2,Z002E0074,12.1,1.152
2,Z002E0075,13.96,1.619
2,Z002E0076,14.78,1.604
2,Z002E0077,11.79,1.607
2,Z002E0078,16.78,1.604
2,Z002E0079,16.03,1.931
2,Z002E0080,15.03,1.607
2,Z002E0081,16.03,1.607
2,Z002E0082,13.03,1.607
2,Z002E0083,12.78,1.604
2,Z002E0084,13.93,1.257
2,Z002E0085,12.12,1.61
2,Z002E0086,17.12,1.61
2,Z002E0087,11.01,1.152
2,Z002E0088,15.78,1.604
2,Z002E0089,14.96,1.619
2,Z002E0090,13.79,1.607
2,Z002E0091,11.18,1.938
2,Z002E0092,14.8,1.928
2,Z002E0093,15.12,1.61
2,Z002E0094,14.07,1.254
2,Z002E0095,13.22,1.61
2,Z002E0096,13.96,1.619
2,Z002E0097,16.79,1.607
2,Z002E0098,14.93,1.607
2,Z002E0099,14.49,1.154
2,Z002E0100,13.49,1.151
2,Z002E0101,15.78,1.604
2,Z002E0102,13.42,1.151
2,Z002E0103,13.64,1.934
2,Z002E0104,14.8,1.604
2,Z002E0105,14.03,1.607
2,Z002E0106,13.78,1.604
2,Z002E0107,15.18,1.154
2,Z002E0108,20.12,1.61
2,Z002E0109,11.93,1.607
2,Z002E0110,12.79,1.607
2,Z002E0111,14.12,1.61
2,Z002E0112,11.18,1.616
2,Z002E0113,15.64,1.61
2,Z002E0114,13.93,1.607
2,Z002E0115,14.22,1.61
2,Z002E0116,14.64,1.61
2,Z002E0117,15.8,1.604
2,Z002E0118,14.93,1.607
2,Z002E0119,15.12,1.61
2,Z002E0120,12.18,1.633
2,Z002E0121,15.88,1.152
2,Z002E0122,14.93,1.607
2,Z002E0123,9.784,1.604
2,Z002E0124,13.18,1.616
2,Z002E0125,18.12,1.61
2,Z002E0126,15.96,1.619
2,Z002E0127,12.93,1.607
2,Z002E0128,16.03,1.607
2,Z002E0129,19.96,1.619
2,Z002E0130,16.22,1.61
2,Z002E0131,15.64,1.61
2,Z002E0132,15.8,1.604
2,Z002E0133,11.64,1.934
2,Z002E0134,12.18,1.633
2,Z002E0135,15.64,1.61
2,Z002E0136,12.79,1.607
2,Z002E0137,13.96,1.619
2,Z002E0138,15,1.155
2,Z002E0139,14.18,1.616
2,Z002E0141,14.96,1.619
2,Z002E0142,14.18,1.616
2,Z002E0143,19.64,1.61
2,Z002E0144,13.64,1.61
2,Z002E0145,13.22,1.61
2,Z002E0146,14.96,1.619
2,Z002E0147,16.64,1.61
2,Z002E0148,12.03,1.607
2,Z002E0149,12.18,1.616
2,Z002E0150,16.72,1.153
2,Z002E0151,11.18,1.938
2,Z002E0152,12.12,1.933
2,Z002E0153,19.18,1.938
2,Z002E0154,13.54,1.152
2,Z002E0155,16.12,1.61
2,Z002E0156,12.66,1.253
2,Z002E0157,16.64,1.61
2,Z002E0158,14.54,1.253
2,Z002E0159,13.64,1.61
2,Z002E0160,15.18,1.635
2,Z002E0161,13.22,1.933
2,Z002E0162,14.03,1.607
2,Z002E0163,14.78,1.928
2,Z002E0164,15.42,1.153
2,Z002E0165,15.28,1.253
2,Z002E0166,12.8,1.604
2,Z002E0167,14.96,1.619
2,Z002E0168,16.19,1.252
2,Z002E0169,15.93,1.607
2,Z002E0170,14.22,1.61
2,Z002E0171,12.79,1.607
2,Z002E0172,13.93,1.607
2,Z002E0173,14.66,1.158
2,Z002E0174,15.78,1.604
2,Z002E0175,14.07,1.252
2,Z002E0176,12.96,1.619
2,Z002E0178,16.79,1.607
2,Z002E0179,12.18,1.616
2,Z002E0180,14.64,1.61
2,Z002E0181,15.8,1.604
2,Z002E0183,13.49,1.154
2,Z002E0184,14.93,1.607
2,Z002E0185,17.12,1.61
2,Z002E0186,14.96,1.619
2,Z002E0187,7.219,1.933
2,Z002E0188,14.96,1.619
2,Z002E0189,17.8,1.604
2,Z002E0190,14.93,1.607
2,Z002E0191,17.22,1.61
2,Z002E0192,14.96,1.941
2,Z002E0193,16.02,1.253
2,Z002E0194,11.8,1.604
2,Z002E0195,12.78,1.928
2,Z002E0196,14.22,1.61
2,Z002E0197,13.05,1.152
2,Z002E0198,18.03,1.607
2,Z002E0199,13.96,1.619
2,Z002E0200,13.18,1.616
2,Z002E0207,13.22,1.61
2,Z002E0217,12.79,1.607
2,Z002ESBreplace1,14.66,1.158
3,Z003E0005,15.57,1.68
3,Z003E0007,13.82,1.68
3,Z003E0014,12.82,1.68
3,Z003E0017,14.57,1.68
3,Z003E0038,10.82,2.034
3,Z003E0043,14.57,1.68
3,Z003E0044,15.57,1.68
3,Z003E0046,14.57,1.68
3,Z003E0049,10.82,1.68
3,Z003E0052,16.57,1.68
3,Z003E0058,11.82,1.68
3,Z003E0062,11.57,1.68
3,Z003E0069,11.82,1.68
3,Z003E0070,14.57,1.68
3,Z003E0071,14.82,1.68
3,Z003E0072,10.82,1.68
3,Z003E0075,13.57,1.68
3,Z003E0080,11.82,1.68
3,Z003E0085,12.57,1.68
3,Z003E0091,16.57,1.68
3,Z003E0094,14.57,1.68
3,Z003E0096,12.82,1.68
3,Z003E0105,14.57,1.68
3,Z003E0115,13.57,1.68
3,Z003E0120,14.82,2.034
3,Z003E0126,14.57,1.68
3,Z003E0127,11.82,1.68
3,Z003E0129,13.57,1.68
3,Z003E0140,12.32,1.68
3,Z003E0143,14.82,2.034
3,Z003E0145,13.82,1.68
3,Z003E0161,13.82,1.68
3,Z003E0166,10.57,1.68
3,Z003E0172,15.57,1.68
3,Z003E0191,12.82,1.68
4,Z004E0001,16.67,1.613
4,Z004E0002,16.17,1.62
4,Z004E0003,17.17,1.62
4,Z004E0004,19.29,1.155
4,Z004E0005,17.39,1.156
4,Z004E0006,15.48,1.263
4,Z004E0007,17.54,1.942
4,Z004E0008,15.67,1.936
4,Z004E0009,15.63,1.963
4,Z004E0010,17.21,1.938
4,Z004E0011,12.21,1.616
4,Z004E0012,14.39,1.615
4,Z004E0013,13.39,1.938
4,Z004E0015,15.05,1.622
4,Z004E0016,10.99,1.64
4,Z004E0017,14.83,1.157
4,Z004E0018,15.05,1.622
4,Z004E0019,14.83,1.944
4,Z004E0020,19.05,1.622
4,Z004E0021,14.05,1.944
4,Z004E0022,20.54,1.62
4,Z004E0023,14.83,1.622
4,Z004E0024,16.83,1.622
4,Z004E0025,12,1.158
4,Z004E0026,14.63,1.632
4,Z004E0027,16.54,1.62
4,Z004E0028,15.62,1.154
4,Z004E0029,15.39,1.615
4,Z004E0030,15.63,1.646
4,Z004E0032,15.63,1.646
4,Z004E0033,13.21,1.616
4,Z004E0034,17.21,1.616
4,Z004E0035,15.39,1.615
4,Z004E0036,16.05,1.622
4,Z004E0037,12.63,1.646
4,Z004E0039,13.67,1.936
4,Z004E0040,14.68,1.163
4,Z004E0041,18.05,1.622
4,Z004E0043,14.47,1.638
4,Z004E0044,15.39,1.615
4,Z004E0045,17.96,1.612
4,Z004E0046,15.17,1.62
4,Z004E0047,18.67,1.613
4,Z004E0048,18.17,1.62
4,Z004E0050,15.83,1.622
4,Z004E0052,16.05,1.622
4,Z004E0053,13.39,1.615
4,Z004E0054,17.63,1.646
4,Z004E0056,15.54,1.942
4,Z004E0057,11.39,1.615
4,Z004E0058,16.47,1.638
4,Z004E0059,12.63,1.646
4,Z004E0060,13.47,1.638
4,Z004E0061,15.96,1.612
4,Z004E0062,16.63,1.163
4,Z004E0063,15.63,1.646
4,Z004E0064,13.83,1.622
4,Z004E0066,15.39,1.938
4,Z004E0067,20.47,1.638
4,Z004E0068,13.93,1.158
4,Z004E0069,15.63,1.646
4,Z004E0070,16.67,1.613
4,Z004E0071,16.47,1.638
4,Z004E0072,13.54,1.62
4,Z004E0073,14.95,1.253
4,Z004E0074,13.75,1.163
4,Z004E0075,17.54,1.62
4,Z004E0076,11.47,1.638
4,Z004E0077,15.43,1.167
4,Z004E0078,15.85,1.155
4,Z004E0079,12.96,1.612
4,Z004E0080,10.83,1.622
4,Z004E0082,14.17,1.62
4,Z004E0083,15.96,1.612
4,Z004E0084,14,1.268
4,Z004E0085,14.39,1.615
4,Z004E0086,14.45,1.158
4,Z004E0087,13.96,1.935
4,Z004E0089,11.21,1.616
4,Z004E0090,12.96,1.612
4,Z004E0091,16.17,1.62
4,Z004E0092,12.47,1.957
4,Z004E0093,16,1.268
4,Z004E0094,13.47,1.638
4,Z004E0095,13.63,1.963
4,Z004E0096,16.39,1.167
4,Z004E0097,14.67,1.613
4,Z004E0098,17.21,1.616
4,Z004E0099,17.21,1.616
4,Z004E0100,18.05,1.944
4,Z004E0101,13.2,1.163
4,Z004E0102,14.47,1.638
4,Z004E0103,15.63,1.963
4,Z004E0104,12.21,1.616
4,Z004E0105,13.94,1.167
4,Z004E0107,14.18,1.254
4,Z004E0108,14.83,1.622
4,Z004E0109,15.63,1.963
4,Z004E0110,13.1,1.154
4,Z004E0111,13.59,1.156
4,Z004E0112,13.63,1.963
4,Z004E0113,15.83,1.622
4,Z004E0114,15.54,1.942
4,Z004E0115,17.47,1.638
4,Z004E0116,13.83,1.622
4,Z004E0117,15.21,1.616
4,Z004E0118,15.25,1.155
4,Z004E0120,14.53,1.167
4,Z004E0121,15.63,1.963
4,Z004E0122,17.05,1.622
4,Z004E0123,12.83,1.944
4,Z004E0124,14.39,1.615
4,Z004E0125,12.67,1.613
4,Z004E0126,16.96,1.612
4,Z004E0127,14.05,1.622
4,Z004E0128,13,1.158
4,Z004E0129,14.83,1.622
4,Z004E0130,15.05,1.622
4,Z004E0131,18.54,1.62
4,Z004E0133,12.54,1.62
4,Z004E0134,14.47,1.638
4,Z004E0135,14.31,1.154
4,Z004E0136,16.05,1.944
4,Z004E0137,13.98,1.256
4,Z004E0138,15.17,1.62
4,Z004E0139,15.53,1.157
4,Z004E0140,15.54,1.62
4,Z004E0141,14.05,1.622
4,Z004E0144,13.21,1.938
4,Z004E0145,14.17,1.62
4,Z004E0146,12.96,1.612
4,Z004E0147,15.54,1.62
4,Z004E0148,15.21,1.938
4,Z004E0149,17.47,1.638
4,Z004E0150,12.54,1.62
4,Z004E0151,13.54,1.62
4,Z004E0152,16.17,1.62
4,Z004E0153,17.63,1.963
4,Z004E0155,16.96,1.612
4,Z004E0156,13.05,1.622
4,Z004E0157,10.67,1.613
4,Z004E0158,13.83,1.622
4,Z004E0159,14.47,1.638
4,Z004E0160,16.05,1.622
4,Z004E0161,13.07,1.163
4,Z004E0162,17.63,1.646
4,Z004E0163,14.96,1.612
4,Z004E0164,12.54,1.62
4,Z004E0165,16.17,1.942
4,Z004E0166,11.67,1.613
4,Z004E0167,13.05,1.622
4,Z004E0168,13.21,1.616
4,Z004E0169,13.52,1.163
4,Z004E0170,13.05,1.622
4,Z004E0171,13.83,1.622
4,Z004E0172,12.39,1.615
4,Z004E0173,14.37,1.253
4,Z004E0174,14.67,1.613
4,Z004E0175,13.39,1.615
4,Z004E0176,9.207,1.938
4,Z004E0177,16.67,1.613
4,Z004E0178,14.83,1.622
4,Z004E0179,14.17,1.62
4,Z004E0180,16.05,1.622
4,Z004E0181,17.98,1.156
4,Z004E0182,14.43,1.167
4,Z004E0183,14.96,1.612
4,Z004E0184,13.77,1.254
4,Z004E0185,15.63,1.963
4,Z004E0186,15.67,1.613
4,Z004E0187,14.63,1.646
4,Z004E0188,12.96,1.612
4,Z004E0189,15.21,1.616
4,Z004E0190,18.17,1.62
4,Z004E0191,14.67,1.613
4,Z004E0192,13.17,1.62
4,Z004E0193,18.67,1.613
4,Z004E0194,14.47,1.638
4,Z004E0195,14.47,1.638
4,Z004E0196,14.96,1.612
4,Z004E0197,15.67,1.613
4,Z004E0198,14.21,1.616
4,Z004E0199,18.54,1.62
4,Z004E0200,12.47,1.638
4,Z004E0208,18.05,1.622
4,Z004E0232,15.67,1.613
5,Z005E0001,14.47,1.7
5,Z005E0010,15.29,1.7
5,Z005E0016,12.29,1.7
5,Z005E0019,10.47,1.7
5,Z005E0032,14.29,1.7
5,Z005E0037,12.47,1.7
5,Z005E0048,14.29,1.7
5,Z005E0053,14.47,1.7
5,Z005E0058,13.29,1.7
5,Z005E0062,15.47,1.7
5,Z005E0071,11.47,1.7
5,Z005E0072,12.47,1.7
5,Z005E0075,13.47,1.7
5,Z005E0079,14.29,1.7
5,Z005E0105,16.29,1.7
5,Z005E0108,11.47,1.7
5,Z005E0119,14.47,1.7
5,Z005E0137,14.29,1.7
5,Z005E0138,12.29,1.7
5,Z005E0139,10.29,1.7
5,Z005E0141,13.47,1.7
5,Z005E0148,12.47,1.7
5,Z005E0149,15.47,1.7
5,Z005E0150,13.29,1.7
5,Z005E0156,14.47,1.7
5,Z005E0157,11.47,1.7
5,Z005E0159,12.29,1.7
5,Z005E0162,17.29,1.7
5,Z005E0164,12.47,1.7
5,Z005E0167,11.29,1.7
5,Z005E0168,11.47,1.7
5,Z005E0170,12.47,1.7
5,Z005E0171,17.29,1.7
5,Z005E0174,16.29,1.7
5,Z005E0175,15.29,1.7
5,Z005E0181,15.47,2.051
5,Z005E0184,16.29,1.7
5,Z005E0193,11.47,1.7
5,Z005E0210,11.29,1.7
5,Z005E0215,14.29,1.7
6,Z006E0020,13.69,1.695
6,Z006E0028,11.69,1.695
6,Z006E0031,15.59,1.671
6,Z006E0034,16.59,1.671
6,Z006E0044,15.59,1.671
6,Z006E0051,12.69,1.695
6,Z006E0054,14.69,2.047
6,Z006E0058,13.69,1.695
6,Z006E0059,12.69,1.695
6,Z006E0061,15.69,1.695
6,Z006E0065,16.59,1.671
6,Z006E0066,9.693,1.695
6,Z006E0073,15.59,1.671
6,Z006E0074,13.69,1.695
6,Z006E0088,15.59,1.671
6,Z006E0095,14.59,1.671
6,Z006E0103,17.59,1.671
6,Z006E0104,13.69,1.695
6,Z006E0107,13.59,1.671
6,Z006E0110,13.69,1.695
6,Z006E0116,13.59,2.026
6,Z006E0124,16.69,1.695
6,Z006E0137,15.59,1.671
6,Z006E0143,16.59,1.671
6,Z006E0145,13.59,1.671
6,Z006E0159,16.59,1.671
6,Z006E0164,13.69,1.695
6,Z006E0175,14.59,1.671
6,Z006E0177,10.69,1.695
6,Z006E0196,11.69,1.695
6,Z006E0200,13.59,1.671
6,Z006E0204,11.69,1.695
6,Z006E0226,11.69,1.695
6,Z006E0228,13.69,1.695
6,Z006E0255,14.69,1.695
7,Z007E0005,12.05,1.696
7,Z007E0008,17.05,1.696
7,Z007E0010,15.05,1.696
7,Z007E0014,13.05,1.696
